ED_num,reported,candidate,party,votes
ED    8,99.00%,WRITE-IN,&nbsp,15
ED    9,99.00%,Kamala D. Harris Tim Walz,(Democratic),289
ED    9,99.00%,Donald J. Trump JD Vance,(Republican),267
ED    9,99.00%,Donald J. Trump JD Vance,(Conservative),26
ED    9,99.00%,Kamala D. Harris Tim Walz,(Working Families),37
ED    9,99.00%,WRITE-IN,&nbsp,9
ED   10,85.71%,Kamala D. Harris Tim Walz,(Democratic),398
ED   10,85.71%,Donald J. Trump JD Vance,(Republican),676
ED   10,85.71%,Donald J. Trump JD Vance,(Conservative),53
ED   10,85.71%,Kamala D. Harris Tim Walz,(Working Families),29
ED   10,85.71%,WRITE-IN,&nbsp,10
ED   11,85.71%,Kamala D. Harris Tim Walz,(Democratic),547
ED   11,85.71%,Donald J. Trump JD Vance,(Republican),240
ED   11,85.71%,Donald J. Trump JD Vance,(Conservative),21
ED   11,85.71%,Kamala D. Harris Tim Walz,(Working Families),33
ED   11,85.71%,WRITE-IN,&nbsp,7
ED   12,99.00%,Kamala D. Harris Tim Walz,(Democratic),155
ED   12,99.00%,Donald J. Trump JD Vance,(Republican),82
ED   12,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   12,99.00%,Kamala D. Harris Tim Walz,(Working Families),22
ED   12,99.00%,WRITE-IN,&nbsp,8
ED   13,99.00%,Kamala D. Harris Tim Walz,(Democratic),448
ED   13,99.00%,Donald J. Trump JD Vance,(Republican),232
ED   13,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   13,99.00%,Kamala D. Harris Tim Walz,(Working Families),53
ED   13,99.00%,WRITE-IN,&nbsp,16
ED   14,99.00%,Kamala D. Harris Tim Walz,(Democratic),296
ED   14,99.00%,Donald J. Trump JD Vance,(Republican),340
ED   14,99.00%,Donald J. Trump JD Vance,(Conservative),26
ED   14,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   14,99.00%,WRITE-IN,&nbsp,5
ED   15,99.00%,Kamala D. Harris Tim Walz,(Democratic),391
ED   15,99.00%,Donald J. Trump JD Vance,(Republican),397
ED   15,99.00%,Donald J. Trump JD Vance,(Conservative),29
ED   15,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   15,99.00%,WRITE-IN,&nbsp,7
ED   16,99.00%,Kamala D. Harris Tim Walz,(Democratic),244
ED   16,99.00%,Donald J. Trump JD Vance,(Republican),209
ED   16,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED   16,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   16,99.00%,WRITE-IN,&nbsp,2
ED   17,99.00%,Kamala D. Harris Tim Walz,(Democratic),173
ED   17,99.00%,Donald J. Trump JD Vance,(Republican),444
ED   17,99.00%,Donald J. Trump JD Vance,(Conservative),26
ED   17,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   17,99.00%,WRITE-IN,&nbsp,6
ED   18,99.00%,Kamala D. Harris Tim Walz,(Democratic),516
ED   18,99.00%,Donald J. Trump JD Vance,(Republican),203
ED   18,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   18,99.00%,Kamala D. Harris Tim Walz,(Working Families),33
ED   18,99.00%,WRITE-IN,&nbsp,18
ED   19,99.00%,Kamala D. Harris Tim Walz,(Democratic),99
ED   19,99.00%,Donald J. Trump JD Vance,(Republican),11
ED   19,99.00%,Donald J. Trump JD Vance,(Conservative),2
ED   19,99.00%,Kamala D. Harris Tim Walz,(Working Families),6
ED   19,99.00%,WRITE-IN,&nbsp,0
ED   20,99.00%,Kamala D. Harris Tim Walz,(Democratic),751
ED   20,99.00%,Donald J. Trump JD Vance,(Republican),121
ED   20,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   20,99.00%,Kamala D. Harris Tim Walz,(Working Families),27
ED   20,99.00%,WRITE-IN,&nbsp,4
ED   21,99.00%,Kamala D. Harris Tim Walz,(Democratic),551
ED   21,99.00%,Donald J. Trump JD Vance,(Republican),183
ED   21,99.00%,Donald J. Trump JD Vance,(Conservative),16
ED   21,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   21,99.00%,WRITE-IN,&nbsp,8
ED   22,99.00%,Kamala D. Harris Tim Walz,(Democratic),260
ED   22,99.00%,Donald J. Trump JD Vance,(Republican),32
ED   22,99.00%,Donald J. Trump JD Vance,(Conservative),2
ED   22,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   22,99.00%,WRITE-IN,&nbsp,0
ED   23,83.33%,Kamala D. Harris Tim Walz,(Democratic),142
ED   23,83.33%,Donald J. Trump JD Vance,(Republican),143
ED   23,83.33%,Donald J. Trump JD Vance,(Conservative),2
ED   23,83.33%,Kamala D. Harris Tim Walz,(Working Families),3
ED   23,83.33%,WRITE-IN,&nbsp,0
ED   24,83.33%,Kamala D. Harris Tim Walz,(Democratic),267
ED   24,83.33%,Donald J. Trump JD Vance,(Republican),48
ED   24,83.33%,Donald J. Trump JD Vance,(Conservative),0
ED   24,83.33%,Kamala D. Harris Tim Walz,(Working Families),10
ED   24,83.33%,WRITE-IN,&nbsp,1
ED   25,99.00%,Kamala D. Harris Tim Walz,(Democratic),436
ED   25,99.00%,Donald J. Trump JD Vance,(Republican),313
ED   25,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   25,99.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED   25,99.00%,WRITE-IN,&nbsp,2
ED   26,99.00%,Kamala D. Harris Tim Walz,(Democratic),252
ED   26,99.00%,Donald J. Trump JD Vance,(Republican),178
ED   26,99.00%,Donald J. Trump JD Vance,(Conservative),6
ED   26,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   26,99.00%,WRITE-IN,&nbsp,4
ED   27,99.00%,Kamala D. Harris Tim Walz,(Democratic),157
ED   27,99.00%,Donald J. Trump JD Vance,(Republican),898
ED   27,99.00%,Donald J. Trump JD Vance,(Conservative),42
ED   27,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   27,99.00%,WRITE-IN,&nbsp,8
ED   28,99.00%,Kamala D. Harris Tim Walz,(Democratic),430
ED   28,99.00%,Donald J. Trump JD Vance,(Republican),224
ED   28,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   28,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   28,99.00%,WRITE-IN,&nbsp,6
ED   29,99.00%,Kamala D. Harris Tim Walz,(Democratic),153
ED   29,99.00%,Donald J. Trump JD Vance,(Republican),559
ED   29,99.00%,Donald J. Trump JD Vance,(Conservative),26
ED   29,99.00%,Kamala D. Harris Tim Walz,(Working Families),6
ED   29,99.00%,WRITE-IN,&nbsp,2
ED   30,99.00%,Kamala D. Harris Tim Walz,(Democratic),184
ED   30,99.00%,Donald J. Trump JD Vance,(Republican),541
ED   30,99.00%,Donald J. Trump JD Vance,(Conservative),22
ED   30,99.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED   30,99.00%,WRITE-IN,&nbsp,6
ED   31,99.00%,Kamala D. Harris Tim Walz,(Democratic),457
ED   31,99.00%,Donald J. Trump JD Vance,(Republican),333
ED   31,99.00%,Donald J. Trump JD Vance,(Conservative),29
ED   31,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   31,99.00%,WRITE-IN,&nbsp,5
ED   32,99.00%,Kamala D. Harris Tim Walz,(Democratic),478
ED   32,99.00%,Donald J. Trump JD Vance,(Republican),497
ED   32,99.00%,Donald J. Trump JD Vance,(Conservative),26
ED   32,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   32,99.00%,WRITE-IN,&nbsp,9
ED   33,99.00%,Kamala D. Harris Tim Walz,(Democratic),209
ED   33,99.00%,Donald J. Trump JD Vance,(Republican),901
ED   33,99.00%,Donald J. Trump JD Vance,(Conservative),53
ED   33,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   33,99.00%,WRITE-IN,&nbsp,9
ED   34,99.00%,Kamala D. Harris Tim Walz,(Democratic),231
ED   34,99.00%,Donald J. Trump JD Vance,(Republican),732
ED   34,99.00%,Donald J. Trump JD Vance,(Conservative),46
ED   34,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   34,99.00%,WRITE-IN,&nbsp,10
ED   35,99.00%,Kamala D. Harris Tim Walz,(Democratic),156
ED   35,99.00%,Donald J. Trump JD Vance,(Republican),787
ED   35,99.00%,Donald J. Trump JD Vance,(Conservative),38
ED   35,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED   35,99.00%,WRITE-IN,&nbsp,9
ED   36,85.71%,Kamala D. Harris Tim Walz,(Democratic),169
ED   36,85.71%,Donald J. Trump JD Vance,(Republican),716
ED   36,85.71%,Donald J. Trump JD Vance,(Conservative),54
ED   36,85.71%,Kamala D. Harris Tim Walz,(Working Families),9
ED   36,85.71%,WRITE-IN,&nbsp,11
ED   37,85.71%,Kamala D. Harris Tim Walz,(Democratic),281
ED   37,85.71%,Donald J. Trump JD Vance,(Republican),608
ED   37,85.71%,Donald J. Trump JD Vance,(Conservative),34
ED   37,85.71%,Kamala D. Harris Tim Walz,(Working Families),16
ED   37,85.71%,WRITE-IN,&nbsp,7
ED   38,85.71%,Kamala D. Harris Tim Walz,(Democratic),205
ED   38,85.71%,Donald J. Trump JD Vance,(Republican),567
ED   38,85.71%,Donald J. Trump JD Vance,(Conservative),40
ED   38,85.71%,Kamala D. Harris Tim Walz,(Working Families),16
ED   38,85.71%,WRITE-IN,&nbsp,6
ED   39,99.00%,Kamala D. Harris Tim Walz,(Democratic),52
ED   39,99.00%,Donald J. Trump JD Vance,(Republican),26
ED   39,99.00%,Donald J. Trump JD Vance,(Conservative),2
ED   39,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   39,99.00%,WRITE-IN,&nbsp,0
ED   40,99.00%,Kamala D. Harris Tim Walz,(Democratic),301
ED   40,99.00%,Donald J. Trump JD Vance,(Republican),241
ED   40,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   40,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   40,99.00%,WRITE-IN,&nbsp,7
ED   41,99.00%,Kamala D. Harris Tim Walz,(Democratic),301
ED   41,99.00%,Donald J. Trump JD Vance,(Republican),350
ED   41,99.00%,Donald J. Trump JD Vance,(Conservative),22
ED   41,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   41,99.00%,WRITE-IN,&nbsp,8
ED   42,99.00%,Kamala D. Harris Tim Walz,(Democratic),245
ED   42,99.00%,Donald J. Trump JD Vance,(Republican),262
ED   42,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   42,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   42,99.00%,WRITE-IN,&nbsp,9
ED   43,99.00%,Kamala D. Harris Tim Walz,(Democratic),6
ED   43,99.00%,Donald J. Trump JD Vance,(Republican),2
ED   43,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   43,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   43,99.00%,WRITE-IN,&nbsp,0
ED   44,99.00%,Kamala D. Harris Tim Walz,(Democratic),516
ED   44,99.00%,Donald J. Trump JD Vance,(Republican),568
ED   44,99.00%,Donald J. Trump JD Vance,(Conservative),37
ED   44,99.00%,Kamala D. Harris Tim Walz,(Working Families),21
ED   44,99.00%,WRITE-IN,&nbsp,7
ED   45,99.00%,Kamala D. Harris Tim Walz,(Democratic),315
ED   45,99.00%,Donald J. Trump JD Vance,(Republican),380
ED   45,99.00%,Donald J. Trump JD Vance,(Conservative),22
ED   45,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   45,99.00%,WRITE-IN,&nbsp,6
ED   46,99.00%,Kamala D. Harris Tim Walz,(Democratic),480
ED   46,99.00%,Donald J. Trump JD Vance,(Republican),422
ED   46,99.00%,Donald J. Trump JD Vance,(Conservative),35
ED   46,99.00%,Kamala D. Harris Tim Walz,(Working Families),19
ED   46,99.00%,WRITE-IN,&nbsp,41
ED   47,99.00%,Kamala D. Harris Tim Walz,(Democratic),323
ED   47,99.00%,Donald J. Trump JD Vance,(Republican),371
ED   47,99.00%,Donald J. Trump JD Vance,(Conservative),29
ED   47,99.00%,Kamala D. Harris Tim Walz,(Working Families),20
ED   47,99.00%,WRITE-IN,&nbsp,3
ED   48,99.00%,Kamala D. Harris Tim Walz,(Democratic),341
ED   48,99.00%,Donald J. Trump JD Vance,(Republican),410
ED   48,99.00%,Donald J. Trump JD Vance,(Conservative),34
ED   48,99.00%,Kamala D. Harris Tim Walz,(Working Families),15
ED   48,99.00%,WRITE-IN,&nbsp,9
ED   49,99.00%,Kamala D. Harris Tim Walz,(Democratic),454
ED   49,99.00%,Donald J. Trump JD Vance,(Republican),423
ED   49,99.00%,Donald J. Trump JD Vance,(Conservative),45
ED   49,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   49,99.00%,WRITE-IN,&nbsp,9
ED   50,99.00%,Kamala D. Harris Tim Walz,(Democratic),165
ED   50,99.00%,Donald J. Trump JD Vance,(Republican),157
ED   50,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   50,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   50,99.00%,WRITE-IN,&nbsp,18
ED   51,99.00%,Kamala D. Harris Tim Walz,(Democratic),325
ED   51,99.00%,Donald J. Trump JD Vance,(Republican),238
ED   51,99.00%,Donald J. Trump JD Vance,(Conservative),13
ED   51,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   51,99.00%,WRITE-IN,&nbsp,9
ED   52,99.00%,Kamala D. Harris Tim Walz,(Democratic),194
ED   52,99.00%,Donald J. Trump JD Vance,(Republican),147
ED   52,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   52,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED   52,99.00%,WRITE-IN,&nbsp,7
ED   53,99.00%,Kamala D. Harris Tim Walz,(Democratic),366
ED   53,99.00%,Donald J. Trump JD Vance,(Republican),254
ED   53,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   53,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   53,99.00%,WRITE-IN,&nbsp,84
ED   54,99.00%,Kamala D. Harris Tim Walz,(Democratic),350
ED   54,99.00%,Donald J. Trump JD Vance,(Republican),253
ED   54,99.00%,Donald J. Trump JD Vance,(Conservative),21
ED   54,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   54,99.00%,WRITE-IN,&nbsp,37
ED   55,99.00%,Kamala D. Harris Tim Walz,(Democratic),128
ED   55,99.00%,Donald J. Trump JD Vance,(Republican),132
ED   55,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   55,99.00%,Kamala D. Harris Tim Walz,(Working Families),7
ED   55,99.00%,WRITE-IN,&nbsp,9
ED   56,99.00%,Kamala D. Harris Tim Walz,(Democratic),141
ED   56,99.00%,Donald J. Trump JD Vance,(Republican),137
ED   56,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   56,99.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED   56,99.00%,WRITE-IN,&nbsp,7
ED   57,99.00%,Kamala D. Harris Tim Walz,(Democratic),203
ED   57,99.00%,Donald J. Trump JD Vance,(Republican),213
ED   57,99.00%,Donald J. Trump JD Vance,(Conservative),11
ED   57,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED   57,99.00%,WRITE-IN,&nbsp,9
ED   58,99.00%,Kamala D. Harris Tim Walz,(Democratic),105
ED   58,99.00%,Donald J. Trump JD Vance,(Republican),351
ED   58,99.00%,Donald J. Trump JD Vance,(Conservative),29
ED   58,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED   58,99.00%,WRITE-IN,&nbsp,3
ED   59,99.00%,Kamala D. Harris Tim Walz,(Democratic),96
ED   59,99.00%,Donald J. Trump JD Vance,(Republican),366
ED   59,99.00%,Donald J. Trump JD Vance,(Conservative),20
ED   59,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   59,99.00%,WRITE-IN,&nbsp,2
ED   60,99.00%,Kamala D. Harris Tim Walz,(Democratic),253
ED   60,99.00%,Donald J. Trump JD Vance,(Republican),361
ED   60,99.00%,Donald J. Trump JD Vance,(Conservative),25
ED   60,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   60,99.00%,WRITE-IN,&nbsp,10
ED   61,99.00%,Kamala D. Harris Tim Walz,(Democratic),9
ED   61,99.00%,Donald J. Trump JD Vance,(Republican),4
ED   61,99.00%,Donald J. Trump JD Vance,(Conservative),2
ED   61,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   61,99.00%,WRITE-IN,&nbsp,1
ED   62,99.00%,Kamala D. Harris Tim Walz,(Democratic),409
ED   62,99.00%,Donald J. Trump JD Vance,(Republican),356
ED   62,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   62,99.00%,Kamala D. Harris Tim Walz,(Working Families),16
ED   62,99.00%,WRITE-IN,&nbsp,12
ED   63,99.00%,Kamala D. Harris Tim Walz,(Democratic),228
ED   63,99.00%,Donald J. Trump JD Vance,(Republican),167
ED   63,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED   63,99.00%,Kamala D. Harris Tim Walz,(Working Families),12
ED   63,99.00%,WRITE-IN,&nbsp,6
ED   64,99.00%,Kamala D. Harris Tim Walz,(Democratic),126
ED   64,99.00%,Donald J. Trump JD Vance,(Republican),84
ED   64,99.00%,Donald J. Trump JD Vance,(Conservative),5
ED   64,99.00%,Kamala D. Harris Tim Walz,(Working Families),2
ED   64,99.00%,WRITE-IN,&nbsp,3
ED   65,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   65,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   65,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   65,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   65,99.00%,WRITE-IN,&nbsp,0
ED   66,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   66,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   66,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   66,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   66,99.00%,WRITE-IN,&nbsp,0
ED   67,85.71%,Kamala D. Harris Tim Walz,(Democratic),0
ED   67,85.71%,Donald J. Trump JD Vance,(Republican),1
ED   67,85.71%,Donald J. Trump JD Vance,(Conservative),0
ED   67,85.71%,Kamala D. Harris Tim Walz,(Working Families),0
ED   67,85.71%,WRITE-IN,&nbsp,0
ED   68,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   68,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   68,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   68,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   68,99.00%,WRITE-IN,&nbsp,0
ED   69,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   69,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   69,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   69,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   69,99.00%,WRITE-IN,&nbsp,0
ED   70,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   70,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   70,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   70,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   70,99.00%,WRITE-IN,&nbsp,0
ED   71,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   71,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   71,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   71,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   71,99.00%,WRITE-IN,&nbsp,0
ED   72,99.00%,Kamala D. Harris Tim Walz,(Democratic),0
ED   72,99.00%,Donald J. Trump JD Vance,(Republican),0
ED   72,99.00%,Donald J. Trump JD Vance,(Conservative),0
ED   72,99.00%,Kamala D. Harris Tim Walz,(Working Families),0
ED   72,99.00%,WRITE-IN,&nbsp,0
Total,,Kamala D. Harris Tim Walz,(Democratic),18059
Total,,Donald J. Trump JD Vance,(Republican),23710
Total,,Donald J. Trump JD Vance,(Conservative),1732
Total,,Kamala D. Harris Tim Walz,(Working Families),883
Total,,WRITE-IN,&nbsp,605
ED    1,99.00%,Kamala D. Harris Tim Walz,(Democratic),154
ED    1,99.00%,Donald J. Trump JD Vance,(Republican),108
ED    1,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED    1,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED    1,99.00%,WRITE-IN,&nbsp,7
ED    2,99.00%,Kamala D. Harris Tim Walz,(Democratic),209
ED    2,99.00%,Donald J. Trump JD Vance,(Republican),101
ED    2,99.00%,Donald J. Trump JD Vance,(Conservative),4
ED    2,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED    2,99.00%,WRITE-IN,&nbsp,5
ED    3,99.00%,Kamala D. Harris Tim Walz,(Democratic),393
ED    3,99.00%,Donald J. Trump JD Vance,(Republican),280
ED    3,99.00%,Donald J. Trump JD Vance,(Conservative),18
ED    3,99.00%,Kamala D. Harris Tim Walz,(Working Families),13
ED    3,99.00%,WRITE-IN,&nbsp,24
ED    4,99.00%,Kamala D. Harris Tim Walz,(Democratic),358
ED    4,99.00%,Donald J. Trump JD Vance,(Republican),212
ED    4,99.00%,Donald J. Trump JD Vance,(Conservative),9
ED    4,99.00%,Kamala D. Harris Tim Walz,(Working Families),9
ED    4,99.00%,WRITE-IN,&nbsp,6
ED    5,99.00%,Kamala D. Harris Tim Walz,(Democratic),387
ED    5,99.00%,Donald J. Trump JD Vance,(Republican),204
ED    5,99.00%,Donald J. Trump JD Vance,(Conservative),12
ED    5,99.00%,Kamala D. Harris Tim Walz,(Working Families),5
ED    5,99.00%,WRITE-IN,&nbsp,8
ED    6,99.00%,Kamala D. Harris Tim Walz,(Democratic),425
ED    6,99.00%,Donald J. Trump JD Vance,(Republican),365
ED    6,99.00%,Donald J. Trump JD Vance,(Conservative),25
ED    6,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED    6,99.00%,WRITE-IN,&nbsp,11
ED    7,99.00%,Kamala D. Harris Tim Walz,(Democratic),324
ED    7,99.00%,Donald J. Trump JD Vance,(Republican),232
ED    7,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED    7,99.00%,Kamala D. Harris Tim Walz,(Working Families),17
ED    7,99.00%,WRITE-IN,&nbsp,11
ED    8,99.00%,Kamala D. Harris Tim Walz,(Democratic),444
ED    8,99.00%,Donald J. Trump JD Vance,(Republican),311
ED    8,99.00%,Donald J. Trump JD Vance,(Conservative),17
ED    8,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED    8,99.00%,WRITE-IN,&nbsp,12
ED    9,99.00%,Kamala D. Harris Tim Walz,(Democratic),558
ED    9,99.00%,Donald J. Trump JD Vance,(Republican),300
ED    9,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED    9,99.00%,Kamala D. Harris Tim Walz,(Working Families),8
ED    9,99.00%,WRITE-IN,&nbsp,9
ED   10,99.00%,Kamala D. Harris Tim Walz,(Democratic),489
ED   10,99.00%,Donald J. Trump JD Vance,(Republican),185
ED   10,99.00%,Donald J. Trump JD Vance,(Conservative),10
ED   10,99.00%,Kamala D. Harris Tim Walz,(Working Families),21
ED   10,99.00%,WRITE-IN,&nbsp,5
ED   11,99.00%,Kamala D. Harris Tim Walz,(Democratic),315
ED   11,99.00%,Donald J. Trump JD Vance,(Republican),169
ED   11,99.00%,Donald J. Trump JD Vance,(Conservative),8
ED   11,99.00%,Kamala D. Harris Tim Walz,(Working Families),11
ED   11,99.00%,WRITE-IN,&nbsp,6
ED   12,99.00%,Kamala D. Harris Tim Walz,(Democratic),251
ED   12,99.00%,Donald J. Trump JD Vance,(Republican),167
ED   12,99.00%,Donald J. Trump JD Vance,(Conservative),7
ED   12,99.00%,Kamala D. Harris Tim Walz,(Working Families),4
ED   12,99.00%,WRITE-IN,&nbsp,5
ED   13,99.00%,Kamala D. Harris Tim Walz,(Democratic),419
ED   13,99.00%,Donald J. Trump JD Vance,(Republican),251
ED   13,99.00%,Donald J. Trump JD Vance,(Conservative),15
ED   13,99.00%,Kamala D. Harris Tim Walz,(Working Families),23
ED   13,99.00%,WRITE-IN,&nbsp,14
ED   14,99.00%,Kamala D. Harris Tim Walz,(Democratic),379
ED   14,99.00%,Donald J. Trump JD Vance,(Republican),308
ED   14,99.00%,Donald J. Trump JD Vance,(Conservative),19
ED   14,99.00%,Kamala D. Harris Tim Walz,(Working Families),10
ED   14,99.00%,WRITE-IN,&nbsp,9
ED   15,87.50%,Kamala D. Harris Tim Walz,(Democratic),331
ED   15,87.50%,Donald J. Trump JD Vance,(Republican),275
ED   15,87.50%,Donald J. Trump JD Vance,(Conservative),13
ED   15,87.50%,Kamala D. Harris Tim Walz,(Working Families),5
ED   15,87.50%,WRITE-IN,&nbsp,7
ED   17,99.00%,Kamala D. Harris Tim Walz,(Democratic),71
ED   17,99.00%,Donald J. Trump JD Vance,(Republican),24
ED   17,99.00%,Donald J. Trump JD Vance,(Conservative),2
ED   17,99.00%,Kamala D. Harris Tim Walz,(Working Families),3
ED   17,99.00%,WRITE-IN,&nbsp,13
