AD_num,reported,candidate,party,votes
AD   63,99.00%,Donald J. Trump JD Vance,(Conservative),1951
AD   63,99.00%,Kamala D. Harris Tim Walz,(Working Families),916
AD   63,99.00%,WRITE-IN,,940
AD   64,97.83%,Kamala D. Harris Tim Walz,(Democratic),15766
AD   64,97.83%,Donald J. Trump JD Vance,(Republican),32286
AD   64,97.83%,Donald J. Trump JD Vance,(Conservative),2256
AD   64,97.83%,Kamala D. Harris Tim Walz,(Working Families),1142
AD   64,97.83%,WRITE-IN,,1205
AD   65,97.17%,Kamala D. Harris Tim Walz,(Democratic),27951
AD   65,97.17%,Donald J. Trump JD Vance,(Republican),9130
AD   65,97.17%,Donald J. Trump JD Vance,(Conservative),599
AD   65,97.17%,Kamala D. Harris Tim Walz,(Working Families),2255
AD   65,97.17%,WRITE-IN,,818
AD   66,99.00%,Kamala D. Harris Tim Walz,(Democratic),42751
AD   66,99.00%,Donald J. Trump JD Vance,(Republican),7027
AD   66,99.00%,Donald J. Trump JD Vance,(Conservative),480
AD   66,99.00%,Kamala D. Harris Tim Walz,(Working Families),2821
AD   66,99.00%,WRITE-IN,,1175
AD   67,98.10%,Kamala D. Harris Tim Walz,(Democratic),46641
AD   67,98.10%,Donald J. Trump JD Vance,(Republican),7861
AD   67,98.10%,Donald J. Trump JD Vance,(Conservative),478
AD   67,98.10%,Kamala D. Harris Tim Walz,(Working Families),2589
AD   67,98.10%,WRITE-IN,,1165
AD   68,96.04%,Kamala D. Harris Tim Walz,(Democratic),28150
AD   68,96.04%,Donald J. Trump JD Vance,(Republican),5920
AD   68,96.04%,Donald J. Trump JD Vance,(Conservative),534
AD   68,96.04%,Kamala D. Harris Tim Walz,(Working Families),1698
AD   68,96.04%,WRITE-IN,,714
AD   69,94.51%,Kamala D. Harris Tim Walz,(Democratic),44675
AD   69,94.51%,Donald J. Trump JD Vance,(Republican),5512
AD   69,94.51%,Donald J. Trump JD Vance,(Conservative),442
AD   69,94.51%,Kamala D. Harris Tim Walz,(Working Families),3986
AD   69,94.51%,WRITE-IN,,1010
AD   70,98.08%,Kamala D. Harris Tim Walz,(Democratic),38072
AD   70,98.08%,Donald J. Trump JD Vance,(Republican),4458
AD   70,98.08%,Donald J. Trump JD Vance,(Conservative),421
AD   70,98.08%,Kamala D. Harris Tim Walz,(Working Families),3132
AD   70,98.08%,WRITE-IN,,824
AD   71,98.23%,Kamala D. Harris Tim Walz,(Democratic),32558
AD   71,98.23%,Donald J. Trump JD Vance,(Republican),6142
AD   71,98.23%,Donald J. Trump JD Vance,(Conservative),499
AD   71,98.23%,Kamala D. Harris Tim Walz,(Working Families),3470
AD   71,98.23%,WRITE-IN,,796
AD   72,94.57%,Kamala D. Harris Tim Walz,(Democratic),23928
AD   72,94.57%,Donald J. Trump JD Vance,(Republican),9576
AD   72,94.57%,Donald J. Trump JD Vance,(Conservative),613
AD   72,94.57%,Kamala D. Harris Tim Walz,(Working Families),2137
AD   72,94.57%,WRITE-IN,,489
AD   73,97.20%,Kamala D. Harris Tim Walz,(Democratic),41341
AD   73,97.20%,Donald J. Trump JD Vance,(Republican),12388
AD   73,97.20%,Donald J. Trump JD Vance,(Conservative),687
AD   73,97.20%,Kamala D. Harris Tim Walz,(Working Families),1284
AD   73,97.20%,WRITE-IN,,1197
AD   74,99.00%,Kamala D. Harris Tim Walz,(Democratic),37719
AD   74,99.00%,Donald J. Trump JD Vance,(Republican),8062
AD   74,99.00%,Donald J. Trump JD Vance,(Conservative),620
AD   74,99.00%,Kamala D. Harris Tim Walz,(Working Families),2879
AD   74,99.00%,WRITE-IN,,975
AD   75,97.17%,Kamala D. Harris Tim Walz,(Democratic),38300
AD   75,97.17%,Donald J. Trump JD Vance,(Republican),7699
AD   75,97.17%,Donald J. Trump JD Vance,(Conservative),544
AD   75,97.17%,Kamala D. Harris Tim Walz,(Working Families),2282
AD   75,97.17%,WRITE-IN,,929
AD   76,94.83%,Kamala D. Harris Tim Walz,(Democratic),43368
AD   76,94.83%,Donald J. Trump JD Vance,(Republican),10896
AD   76,94.83%,Donald J. Trump JD Vance,(Conservative),644
AD   76,94.83%,Kamala D. Harris Tim Walz,(Working Families),1905
AD   76,94.83%,WRITE-IN,,1133
AD   77,95.60%,Kamala D. Harris Tim Walz,(Democratic),18319
AD   77,95.60%,Donald J. Trump JD Vance,(Republican),6519
AD   77,95.60%,Donald J. Trump JD Vance,(Conservative),399
AD   77,95.60%,Kamala D. Harris Tim Walz,(Working Families),583
AD   77,95.60%,WRITE-IN,,196
AD   78,97.62%,Kamala D. Harris Tim Walz,(Democratic),16066
AD   78,97.62%,Donald J. Trump JD Vance,(Republican),7166
AD   78,97.62%,Donald J. Trump JD Vance,(Conservative),474
AD   78,97.62%,Kamala D. Harris Tim Walz,(Working Families),686
AD   78,97.62%,WRITE-IN,,258
AD   79,98.89%,Kamala D. Harris Tim Walz,(Democratic),19996
AD   79,98.89%,Donald J. Trump JD Vance,(Republican),5692
AD   79,98.89%,Donald J. Trump JD Vance,(Conservative),474
AD   79,98.89%,Kamala D. Harris Tim Walz,(Working Families),695
AD   79,98.89%,WRITE-IN,,188
AD   80,98.86%,Kamala D. Harris Tim Walz,(Democratic),20014
AD   80,98.86%,Donald J. Trump JD Vance,(Republican),10001
AD   80,98.86%,Donald J. Trump JD Vance,(Conservative),718
AD   80,98.86%,Kamala D. Harris Tim Walz,(Working Families),937
AD   80,98.86%,WRITE-IN,,594
AD   81,97.37%,Kamala D. Harris Tim Walz,(Democratic),26198
AD   81,97.37%,Donald J. Trump JD Vance,(Republican),9886
AD   81,97.37%,Donald J. Trump JD Vance,(Conservative),835
AD   81,97.37%,Kamala D. Harris Tim Walz,(Working Families),1829
AD   81,97.37%,WRITE-IN,,705
AD   82,98.84%,Kamala D. Harris Tim Walz,(Democratic),27152
AD   82,98.84%,Donald J. Trump JD Vance,(Republican),14067
AD   82,98.84%,Donald J. Trump JD Vance,(Conservative),1230
AD   82,98.84%,Kamala D. Harris Tim Walz,(Working Families),1247
AD   82,98.84%,WRITE-IN,,449
AD   83,97.56%,Kamala D. Harris Tim Walz,(Democratic),29392
AD   83,97.56%,Donald J. Trump JD Vance,(Republican),3888
AD   83,97.56%,Donald J. Trump JD Vance,(Conservative),407
AD   83,97.56%,Kamala D. Harris Tim Walz,(Working Families),764
AD   83,97.56%,WRITE-IN,,229
AD   84,98.94%,Kamala D. Harris Tim Walz,(Democratic),19561
AD   84,98.94%,Donald J. Trump JD Vance,(Republican),6733
AD   84,98.94%,Donald J. Trump JD Vance,(Conservative),521
AD   84,98.94%,Kamala D. Harris Tim Walz,(Working Families),951
AD   84,98.94%,WRITE-IN,,265
AD   85,96.55%,Kamala D. Harris Tim Walz,(Democratic),20306
AD   85,96.55%,Donald J. Trump JD Vance,(Republican),6279
AD   85,96.55%,Donald J. Trump JD Vance,(Conservative),480
AD   85,96.55%,Kamala D. Harris Tim Walz,(Working Families),790
AD   85,96.55%,WRITE-IN,,235
AD   86,97.67%,Kamala D. Harris Tim Walz,(Democratic),15920
AD   86,97.67%,Donald J. Trump JD Vance,(Republican),7486
AD   86,97.67%,Donald J. Trump JD Vance,(Conservative),413
AD   86,97.67%,Kamala D. Harris Tim Walz,(Working Families),495
AD   86,97.67%,WRITE-IN,,206
AD   87,98.61%,Kamala D. Harris Tim Walz,(Democratic),21563
AD   87,98.61%,Donald J. Trump JD Vance,(Republican),7311
AD   87,98.61%,Donald J. Trump JD Vance,(Conservative),563
AD   87,98.61%,Kamala D. Harris Tim Walz,(Working Families),921
AD   87,98.61%,WRITE-IN,,631
Total,,Kamala D. Harris Tim Walz,(Democratic),1623623
Total,,Donald J. Trump JD Vance,(Republican),734063
Total,,Donald J. Trump JD Vance,(Conservative),52231
Total,,Kamala D. Harris Tim Walz,(Working Families),124517
Total,,WRITE-IN,,47741
